,wallet_address,counterparty,tx_count,rnk
92,0x0000000000ea39366718bfc07b48016b2c12f939,0xff8be2f8d0ea681d8a89e75bd454e83fb931b8f2,1,1
382,0x000000ffa51e8fd8dc15c5b77990234810a640e8,0x000000422a649825bda802b2c212c46127bd96fd,7,1
383,0x000000ffa51e8fd8dc15c5b77990234810a640e8,0x9a05fe00171e6382e4a0098c318f462c53e3d075,4,2
384,0x000000ffa51e8fd8dc15c5b77990234810a640e8,0x2337568ace7bce6d03c61b01c4afb5130c2c999a,1,3
844,0x0000db5c8b030ae20308ac975898e09741e70000,0x0000db5c8b030ae20308ac975898e09741e70000,10,1
845,0x0000db5c8b030ae20308ac975898e09741e70000,0xfc4eaa4ac84d00f1c5854113581f881b42b4a745,4,2
846,0x0000db5c8b030ae20308ac975898e09741e70000,0x4689208d311785359c4e060ee30011d8e1a68bf0,2,3
847,0x0000db5c8b030ae20308ac975898e09741e70000,0x49f2de2d8fb38b33bbf7724aec4ad337f263c3c5,1,10
848,0x0000db5c8b030ae20308ac975898e09741e70000,0x36900beccca20d4ef0e997a09dfd0243719b9ce7,1,8
849,0x0000db5c8b030ae20308ac975898e09741e70000,0x8328d248b779af15e894951853e1a236f3eb7cae,1,4
850,0x0000db5c8b030ae20308ac975898e09741e70000,0x0d0a1a9c6e6a9e5fef138da15d23fb80796e6969,1,6
851,0x0000db5c8b030ae20308ac975898e09741e70000,0x84672cc56b6dad30cfa5f9751d9ccae6c39e29cd,1,9
852,0x0000db5c8b030ae20308ac975898e09741e70000,0x314c9dd45898f7c752529c5357f21941c43b3026,1,5
853,0x0000db5c8b030ae20308ac975898e09741e70000,0x36152bcd1608d2c3b3a926080d03de60d1f2f7d4,1,7
1313,0x00061d66a35202f80208abb42e6b8b14352d403c,0x30aa1d02c870874f9126732ea81758091d68a0b6,4,1
1314,0x00061d66a35202f80208abb42e6b8b14352d403c,0xf4f8852aae18d48e5c8a785384bbb79328cb7e91,2,2
1315,0x00061d66a35202f80208abb42e6b8b14352d403c,0xd9c9b9999995d3c94a7037e92b8bb27fa46fdf43,1,8
1316,0x00061d66a35202f80208abb42e6b8b14352d403c,0xc55c848243ba6d1958b0b95985f7e5fde264bd30,1,4
1317,0x00061d66a35202f80208abb42e6b8b14352d403c,0xb98c9cf709717c6dbe13e97235a614f58ec496a3,1,6
1318,0x00061d66a35202f80208abb42e6b8b14352d403c,0x041e2e98b4c01fad28a63b1525f3fda9c57e5e25,1,3
1319,0x00061d66a35202f80208abb42e6b8b14352d403c,0x1611e08f577c594b21c3dc17ce0c07c4f8d72d5d,1,7
1320,0x00061d66a35202f80208abb42e6b8b14352d403c,0xb34a4633d79bc362c6a62611ea0f7e31f9dfcb82,1,9
1321,0x00061d66a35202f80208abb42e6b8b14352d403c,0x103b44ec6276e733572a9cb9863f5ca19d4952e1,1,5
1322,0x00061d66a35202f80208abb42e6b8b14352d403c,0x8dfa8511b746857241129d753ee74e070c6bc871,1,10
5418,0x003bfb76af7e140cb11d04f1603921266d39ac64,0xe5a2b7a037958934f974299461ae288d5a8ead39,3,2
5419,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x1edd783157dee828fb51648a3b199b19f40868cd,3,1
5420,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x15ad89805b0b3a7252b5908a7c0f2a01a4e6a17f,2,3
5421,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x1380237d54669fb30e7d39eef0e36132cfaab410,2,4
5422,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x56052d123fabd05e7da91a5c7551afde3252d6d4,2,6
5423,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x125fd165072336c956f535ef61be1cc640d50720,2,5
5424,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x4d14aedd25fe609c742d2c54ec7585f8be09742e,2,8
5425,0x003bfb76af7e140cb11d04f1603921266d39ac64,0xc098ac772771382f8d9279278f0c628fd248232a,2,7
5426,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x7c78225e9c95e634a5d6ec744846240b8250103e,1,9
5427,0x003bfb76af7e140cb11d04f1603921266d39ac64,0x2d6e7364d2093fdaab3a319a55204a1252ea6d5d,1,10
5605,0x003e36550908907c2a2da960fd19a419b9a774b7,0xaef0338e77ef2cc5b24a711dd06e2fab61c86848,5,1
5606,0x003e36550908907c2a2da960fd19a419b9a774b7,0x18a68c3e5d0883ae1c99a958efad447e4c7e2085,4,2
5607,0x003e36550908907c2a2da960fd19a419b9a774b7,0x7f9ff3950c584034d857d0f8b0d5baffd7a0b090,3,3
5608,0x003e36550908907c2a2da960fd19a419b9a774b7,0x8488277a1f343ba6f755d5861ee0849b9fdb7625,3,5
5609,0x003e36550908907c2a2da960fd19a419b9a774b7,0x5752dc515929ecae4ecfd6725fcccf61590331f3,3,4
5610,0x003e36550908907c2a2da960fd19a419b9a774b7,0x71fdaaddd1134b395cc37d7489b3a52fa0722e1f,2,6
5611,0x003e36550908907c2a2da960fd19a419b9a774b7,0x567275884d65c384393614b491c01e6c0fa4b33b,2,10
5612,0x003e36550908907c2a2da960fd19a419b9a774b7,0xacc641c3f1e1cd7db0a931036cf5698bf959e055,2,8
5613,0x003e36550908907c2a2da960fd19a419b9a774b7,0xedfc5fea043d772994787a30989e3f3d8f292aed,2,7
5614,0x003e36550908907c2a2da960fd19a419b9a774b7,0x7203bab79ef5c0a034ec33c22aadfdc73da60178,2,9
9737,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xdcae2c3a7103b817dca15f7e9038a6d49c0deb0e,19,1
9738,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0x9afc4e47ba3ada90a308cd5121e153a135203c42,15,2
9739,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xda50c7041adb9ef7302572da871d1aa17eb6c48c,7,3
9740,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xe60d950edb5028b3a5553e8227a0a84db7f6ce7b,2,5
9741,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0x333cb3a1db81ced5c29be0d0b60956930c6af5a0,2,8
9742,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xa062d1439f81d9c803482bccc93e085c82d82df1,2,6
9743,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0x3e62bad235192239354828e8f74433bea60ce984,2,7
9744,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xe6572c6deac79f5bfdf350c3952e18608f2f8c44,2,4
9745,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0xbf4802d0438f23f4410c5ce558f18910da8f92ac,1,10
9746,0x00775ffa5d398a462e94bc584b245c4c3f0200a0,0x54c425f0aa286eb16538574588145ff421de07eb,1,9
11115,0x0087c5900b9bbc051b5f6299f5bce92383273b28,0x0087c5900b9bbc051b5f6299f5bce92383273b28,8,1
13048,0x00a2aebc7e233cd2ffe5ab5856f90f0ad2fa3ccd,0x00a2aebc7e233cd2ffe5ab5856f90f0ad2fa3ccd,9,1
15966,0x00c9b37df30acb68ad0b6ecb419425ff22f652d1,0x5f7da351b88aaf0ea38b1274e578c64a444e7f9b,2,1
15967,0x00c9b37df30acb68ad0b6ecb419425ff22f652d1,0x6e281d4c47dd69a8566ed41396a774fe4a7db74a,1,2
15968,0x00c9b37df30acb68ad0b6ecb419425ff22f652d1,0x5d2b41af915c2920cdbf898f4be2bd94403a2c27,1,3
16051,0x00cabfd463a095cebd5812eb087c9cd545e2ae9b,0x46503c70efb7ae308693d077ea33cf2887a8ff65,5,1
17035,0x00d7ce31887a509ef93fd846d6b7caebf81783d7,0x5e809a85aa182a9921edd10a4163745bb3e36284,1,1
21304,0x0113a6b755fbad36b4249fd63002e2035e401143,0x7c5481bca574381ca86b925d73aee76137d746a7,331,1
21305,0x0113a6b755fbad36b4249fd63002e2035e401143,0x2c317942ea356a3e2cd637a5c272bed662d67dbf,231,2
21306,0x0113a6b755fbad36b4249fd63002e2035e401143,0x7f6497cd1705b499a3a32779d191ee943f6664d9,67,3
21307,0x0113a6b755fbad36b4249fd63002e2035e401143,0x4b5f834ede79c52bd33d952c719a0b641a0310ea,63,5
21308,0x0113a6b755fbad36b4249fd63002e2035e401143,0x0b4b0e21a96b39f0df60245ae5ce696bf54201ce,63,4
21309,0x0113a6b755fbad36b4249fd63002e2035e401143,0x1c834ad33dbc858213bd692cbc926d54b04a5976,56,6
21310,0x0113a6b755fbad36b4249fd63002e2035e401143,0xacb5df98948c18f864f1d538514626b5372e646e,55,7
21311,0x0113a6b755fbad36b4249fd63002e2035e401143,0x0dfc5db7ae187bbbc82137c94aadc7ec3c4840b0,53,8
21312,0x0113a6b755fbad36b4249fd63002e2035e401143,0x8cbad60b6894b46c1f2f062c8ef3711c514b5563,45,9
21313,0x0113a6b755fbad36b4249fd63002e2035e401143,0x59861265f201088607e691dc3e4e317197cc99d7,43,10
22544,0x0124d0fa0dfb1430dfcff16ec6a96945e7a0bc10,0x0037825fd75af7eeace28889665e3fac8fdb6300,1,1
24727,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xe8f729692cc39ea146a80abcfee4967af2087792,139,1
24728,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x4ff68226f55d824295774372ef1adf25b4416e1b,88,2
24729,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x1b68efa6d9ce8674a4303bb321a83495b75101e7,85,3
24730,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xc39949fb34798cd65fa390dcd0a1c5c3c1d608a4,76,4
24731,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x3e6bbe80ab169fcfd8e1ab77d2b85c4f290de26a,68,5
24732,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x3593243f7d652533e9e4557943d802d755eee05c,49,6
24733,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0xe0b3df40b6b7ccc7304f15e45c7df25445e73467,43,7
24734,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x108206df22d9f7b34a3f10b03a78eb82bc55469c,36,8
24735,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x33fbc1e5ca8ad14cc3e02b2b61f028e0d44e7509,35,9
24736,0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,0x74db669802bb81a8cae45698eaa75e4123b43da3,31,10
27163,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x1947b53ad28c9962cbb3ee76d72bcfe612a2c836,40,1
27164,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x5359cfb1927d0867e75334b42025fa477f69a727,34,2
27165,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x36ce0b8b5c00477d4b197d066f297fa5462fb50a,32,3
27166,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xdce65d08f16c5e6e81eb20bd9968e165657ad906,31,4
27167,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x34c5b6600d958ba6c774b6152ea3faeb29945492,27,5
27168,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xa67b57b72fab5df4ca51961bc3efe7f6bde9d892,27,6
27169,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x343a194c51f5a3fe7e3ef95d8a8de8f5e3ea5789,27,7
27170,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0x6423cabae97220433688f3313ccdb74b191c52ad,21,8
27171,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xd49640ef247b65a3a0a3ca91bdfaa42855aa1802,17,9
27172,0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0xbb0a67de308f0c65c4c316bf4cb3ebe7b24f1b39,16,10
31782,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xd1460595f8ddd58a78132a3e157e1210ac38984f,26,1
31783,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xa3c33a1e4258eba9c40fd698c190aae038fee42a,8,2
31784,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xdb62fc929d23070b7ec03627df128622c82e0601,4,4
31785,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0x7b933247c0a3d069c7052ba10974e71d8e5b287e,4,3
31786,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0x0e27ace978b5c52b39904876180f030e937cb287,2,6
31787,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xf5f36adb08d89f6f292ab13a6f4ea5fd43afdb12,2,5
31788,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xb14f89e729a1eae0761653329783782bd7d7b912,2,7
31789,0x01a6ce7a04514947c631a64331ad65f1cae04b41,0xc1135dd34cf3d6e0b1a3747075a0c62ccbbbb359,1,8
36051,0x01e1b567ed426eefc18dfca0d654f89ce6895f5f,0x13fb0eb5997d475fec9ef1f9feac31e804b175a5,32,1
36468,0x01e6a33751257181b49cfebc6a4cf4495aa58871,0x45300136662dd4e58fc0df61e6290dffd992b785,5,1
37239,0x01f19e970a1253230b23c7657b4799ef22a6b62f,0x11adfe13ad2ef9d40baf1cc3c4950700e71efd40,1,1
38422,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,1,1
38915,0x02096195b7711e7248f76648efa74285badd95fc,0x1eef70b810dd631cc771f440d35b4933146e9a71,1,1
41345,0x022ae2476193d48287ada036f6e91de3784beee9,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,126,1
42952,0x02432546c23e8c39993208a4e2827f443b3f7206,0x4ebbf1ea0b218ac7fc28ee2b9c057994e341db88,1,1
42953,0x02432546c23e8c39993208a4e2827f443b3f7206,0x984c496e574776d3c622b5e33ace267143664116,1,2
43135,0x0244f7204b9c554306053cc557e14d6cbd40a33c,0xffff000000000000000000000000000000012553,4116,1
48245,0x028d39a0564de3d197d7b5ba378a69282fe9e4f3,0xf70da97812cb96acdf810712aa562db8dfa3dbef,1,1
50714,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xe2b406412cb354faf2381ee1f3c09b991a8e0953,7,1
50715,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x9b4729c61ae4cd2fd6cf2b206419fc1afc40c6e7,3,2
50716,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x636cb7e787be16549d4dd8553982c9719674f1a1,2,7
50717,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x1810ddbe80cc43ece813de7b7444e397605c9efd,2,9
50718,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x72488b1851253b2de3ada7bc09f6242d00e83929,2,6
50719,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xc9993b7aea2ac8053c38dc587a3e23ae3fb8af24,2,8
50720,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x7d1ef6804222ef14f8156f039e4d59e9fc9e2445,2,4
50721,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xb8ea6fede142d673ee3f3987d514d825bcb6f038,2,3
50722,0x02af3bd247e598af852c125e67a5010c2eae4fee,0x6b8e45844635ea484846dcff6138cabd8dfd6803,2,5
50723,0x02af3bd247e598af852c125e67a5010c2eae4fee,0xc73372d7bf460796573cd4641b79d54a893ae68f,2,10
53656,0x02d7e9881259ad045f280229d7f1b98aa726c45a,0xbccd01584e63dd3ede3ccdb0d8bd501411f8fa26,2,1
62925,0x03599a2429871e6be1b154fb9c24691f9d301865,0x002d91c86d026319ba0d159c84ffea03bc00adf9,158,1
62926,0x03599a2429871e6be1b154fb9c24691f9d301865,0xbf1da7614a63993ebf857226a7fc38ebcab6faae,135,2
62927,0x03599a2429871e6be1b154fb9c24691f9d301865,0xca246a06b1bfbd8d0610e1c80e169eb570b50169,127,3
62928,0x03599a2429871e6be1b154fb9c24691f9d301865,0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,118,4
62929,0x03599a2429871e6be1b154fb9c24691f9d301865,0x5ca6942eed7de76eac032ce23742d900a5db3594,95,5
62930,0x03599a2429871e6be1b154fb9c24691f9d301865,0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,84,6
62931,0x03599a2429871e6be1b154fb9c24691f9d301865,0xdbf59a47983f0cff28eff02f7f5b5ee6e64fd9a7,77,7
62932,0x03599a2429871e6be1b154fb9c24691f9d301865,0x1b961e6604a6c830a8d907447f6fc7084dc61328,75,8
62933,0x03599a2429871e6be1b154fb9c24691f9d301865,0x7e6af92df2aecd6113325c0b58f821ab1dce37f6,73,9
62934,0x03599a2429871e6be1b154fb9c24691f9d301865,0x007b8eb47956bc6e92f35647132280382d897c46,64,10
68933,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,79,1
68934,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xa7efae728d2936e78bda97dc267687568dd593f3,74,2
68935,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,70,3
70077,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0xc0251aeaffc9b1578d40e047644f46eeec306a9a,1,5
70078,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x20cdfa2bccc84254319df55ab2042957abb49af7,1,3
70079,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x742e38ae4bd389b2e663980026aeb83c17c4aaf9,1,2
70080,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0xef31df96cefcdb59775109560447fb92c05515fe,1,10
70081,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x8a5bff0e376c358c5b9dcc08966e43ee590685d9,1,1
70082,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x9b3d484bf01f7639074b8eeaf22629f883e35f0e,1,7
70083,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x5294fc64393c1e36c69daaf41530d2ee65b30e21,1,9
70084,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x6f8b1ebb1174fc7473d467ebce62a253899bf05d,1,4
70085,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x2626aef402bb106dded3df79d4d7c636db3be52e,1,6
70086,0x03bd8283b68af907e2e5d6ff3ae2617c00a1d717,0x6c32793f2f66364f4bf3e59e11f1dc787b3febf8,1,8
71220,0x03cdf90e553e7c04f6c5ec3afb49eb87e398f256,0x2b91a684232932b650f03abd42581ad59e0697f4,15,1
71411,0x03d03a026e71979be3b08d44b01eae4c5ff9da99,0x8172dbf1280be6ba0cc7c2e5c7848c33422e93ac,3,1
71412,0x03d03a026e71979be3b08d44b01eae4c5ff9da99,0xc090efad886f441846407bb434efa0be7039ad70,2,2
71413,0x03d03a026e71979be3b08d44b01eae4c5ff9da99,0xa31d555b08faa0701cb0a8b2a334f7fc629984cf,1,3
71414,0x03d03a026e71979be3b08d44b01eae4c5ff9da99,0x6d348d9c88d3e21d13427b010d6e9718f41a6e64,1,4
71415,0x03d03a026e71979be3b08d44b01eae4c5ff9da99,0x0021c6c6c970f39031f0a9f01a9fcc2ada94f5e2,1,5
71778,0x03d5798044ad55058f2023e1ed7e0e0e455bf14e,0x357c6fd2cee77ba5de49e0bb9d49444781a8f0cc,33,1
71779,0x03d5798044ad55058f2023e1ed7e0e0e455bf14e,0x000000000000000000000000000000000000dead,1,2
77491,0x042523db4f3effc33d2742022b2490258494f8b3,0x042523db4f3effc33d2742022b2490258494f8b3,52,1
83373,0x0476ca3e0d7f14d12e77c1d3b2d10027abe6693d,0xb0999731f7c2581844658a9d2ced1be0077b7397,23,1
83374,0x0476ca3e0d7f14d12e77c1d3b2d10027abe6693d,0x344daa9ea0c5589a5fbbd2d8c5adfa1874127ac3,1,2
83375,0x0476ca3e0d7f14d12e77c1d3b2d10027abe6693d,0x03c389146ec3b177d3b9cbc359b407bcc0be2d9a,1,3
88547,0x04c079bb31deed8391015eed8d6b625a40957058,0xb26c966f405cef9c0569d41cb6dcf0c5a4158172,51,1
88548,0x04c079bb31deed8391015eed8d6b625a40957058,0x9065612292dff77405b72f95fd36402efdfb1998,15,2
88549,0x04c079bb31deed8391015eed8d6b625a40957058,0x2a11466c4f02a20caef0438ab30799e05bc61c20,10,5
88550,0x04c079bb31deed8391015eed8d6b625a40957058,0x2b7e739bfc6e24c5a1065a1c534030ca3ab5edb2,10,3
88551,0x04c079bb31deed8391015eed8d6b625a40957058,0x957f6faa3d9367612f1010abe98d189ecdeacaee,10,4
88552,0x04c079bb31deed8391015eed8d6b625a40957058,0x022ee327c4c03e71306feda1b2aebc323a837db4,9,6
88553,0x04c079bb31deed8391015eed8d6b625a40957058,0xac0de9cca452b7878627627f8a8e51478a57de47,8,7
88554,0x04c079bb31deed8391015eed8d6b625a40957058,0x92af0165e2bdfc44e7ed4a2c25da3b888715b3ad,7,9
88555,0x04c079bb31deed8391015eed8d6b625a40957058,0xc7901e3cc69d42c7b5e2095478ac64ea6cfcb4c3,7,8
88556,0x04c079bb31deed8391015eed8d6b625a40957058,0x4653da3981be5ad6d9145ed388cf4e3bb3b25eea,6,10
89634,0x04d1279513b307471a0555c4c4ced0eba594d6dd,0xb4cb8de77ba9e15236022fbe9505d8c856dae572,27,1
89788,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,0xce2c4ed51dc0b01ab5149fcde89a569cce73cbd5,1,2
89789,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,1,1
90090,0x04d78999accdb4446763ba2c002cf8d8651643be,0x23fd22c8c0d737ef57e70c3ee94a85f42952f98a,1,9
90091,0x04d78999accdb4446763ba2c002cf8d8651643be,0x7a55abf64813b9d2deda3f39d4ab0fbda5d60ed0,1,10
90092,0x04d78999accdb4446763ba2c002cf8d8651643be,0xd992b099d1c140558c48556c47bedbe39f120d63,1,8
90093,0x04d78999accdb4446763ba2c002cf8d8651643be,0x0cb61c204ccfa925c0dda12bf981c1ab89aa25de,1,5
90094,0x04d78999accdb4446763ba2c002cf8d8651643be,0x0072b9de9e7d4e791ada53a172e0861dbec7ff90,1,2
90095,0x04d78999accdb4446763ba2c002cf8d8651643be,0xbd8868104eaba96806f7ea8a13f8a41adbe1eedc,1,7
90096,0x04d78999accdb4446763ba2c002cf8d8651643be,0x7853f6efb11934c4c4fdf954c408fb79cb90f449,1,4
90097,0x04d78999accdb4446763ba2c002cf8d8651643be,0xb3cbf923b1745e6cb2fbab1f7e573b1e91cf6c52,1,3
90098,0x04d78999accdb4446763ba2c002cf8d8651643be,0xdc2c3c3b3e8e22566ddc2fe008e3999901dd1372,1,1
90099,0x04d78999accdb4446763ba2c002cf8d8651643be,0x73f976f24c7e363870fd0ac2d511d49aa90a2204,1,6
90831,0x04e21683839f5986c6cad97e41e762b77e7557c0,0x934f0d35416c63652e3ce8528d0eb9368d02678e,3,1
90935,0x04e36b98ffbb2c04d3a1f3dd27fb9eff635aedb4,0xe01f7aaf67d48cf3c171c502ecfca51d957d49a4,1,1
